requirement_id,requirement,direct_operation_ids,mapping_status,implementation_status
V3-ID-01,店舗ごとに招待制とし、1人1アカウントを基本とする。同じ人に複数役割・複数店舗所属を付与できる。共通パスワード・表示名だけの本人識別は禁止。,getMe,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ID-02,主方式は招待＋LINEログイン。LINE利用が難しい人は招待先メールでの認証経路を用意する。対象未指定の招待は加入申請とし、店長確認前に業務権限を付与しない。,startLineLogin,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ID-03,招待は期限付き・1回限り・店舗と役割を固定。ログイン成功だけでスタッフにならない。招待リンクの転送・二重使用・他店舗流用を検証する。,inviteMember,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ID-04,初回は招待受領 → 外部ブラウザで認証 → 所属確認 → ホーム画面追加 → 起動・権限確認。次回はアイコンから当該営業を開く。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ID-05,個人端末のログイン状態を保持しつつ、期間・端末・操作のリスクに応じ再認証する。管理者、許可変更、返金、報酬確定等は追加認証を要求する。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ID-06,退職・出演終了・紛失時に所属・セッションを失効できる。サーバーは各操作時に権限を確認し、古い画面・購読接続からの操作も拒否する。,logout;suspendMember,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ID-07,入口は店舗共用タブレット・スマホを標準構成とする。管理者による端末登録と担当者個人認証を分離。登録端末＋担当者選択＋個人PINを初期設計とし、PIN単体で外部ログインできない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ID-08,代理登録ではreferrer_idとcreated_byを分離する。代理対象・理由・履歴を保持し、帰属だけを書き換えて他人の承認省略許可を継承しない。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
V3-ID-09,「登録」「承認省略」「手動承認」「上限変更」「返金」は別権限。信頼済み紹介者に一般管理画面や他者の顧客一覧を自動公開しない。,updateRole,DIRECT_CORE_CONTRACT,NOT_IMPLEMENTED
V3-ID-10,SaaS運営者の顧客データ閲覧は原則不可。サポートは店舗同意・目的・期限・最小権限・操作履歴を条件とする。,,CROSS_CUTTING_OR_DETAIL_REQUIRED,NOT_IMPLEMENTED
