permission,owner,manager,approver,entrance,referrer,finance,saas_support,condition
approval.decide,明示付与,明示付与,指定営業内,当日入口承認担当として通常から可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証。待機・不在確認・来店済み条件なし。最初の有効な決定のみ。自己申請は初期案不可
approval.read,明示付与,明示付与,指定営業内,当日入口承認担当として通常から可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証。待機・不在確認・来店済み条件なし。最初の有効な決定のみ。自己申請は初期案不可
attribution.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
audit.read,明示付与,明示付与,不可,不可,不可,金銭監査範囲,原則不可,店舗・営業・所属有効期間をサーバー検証。サポートは店舗同意・目的・期限を限定
booking.approve,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
booking.cancel,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
booking.create,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
booking.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
booking.read,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
coupon.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
credential.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
customer.designate,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
customer.lookup,明示付与,明示付与,判断に必要な範囲,当日照合の最小候補,登録目的の最小候補,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
customer.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
device.enroll,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
device.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
device.revoke,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
device.unlock,明示付与,明示付与,不可,device.unlockのみ,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
entrance.checkin,明示付与,明示付与,不可,有効な共用端末＋担当者セッション必須,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
entrance.checkout,明示付与,明示付与,不可,有効な共用端末＋担当者セッション必須,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
entrance.match,明示付与,明示付与,不可,有効な共用端末＋担当者セッション必須,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
entry.correct,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証。肩書ではなく個別許可。初期値は不許可
event.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
event.read,明示付与,明示付与,担当範囲,担当範囲,担当範囲,担当範囲,原則不可,店舗・営業・所属有効期間をサーバー検証
floor.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
import.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
membership.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
notification.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
offline.reconcile,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
payment.create,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
payment.record,明示付与,明示付与,不可,受付対象の支払のみ,不可,対象店舗内,原則不可,店舗・営業・所属有効期間をサーバー検証
payment.refund,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
permit.auto,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証。肩書ではなく個別許可。初期値は不許可
permit.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
policy.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
policy.override_hard_limit,明示付与,明示付与,不可,不可,不可,不可,原則不可,通常承認では変更不可。管理設定の別操作・影響確認・理由・追加認証
report.export,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
report.own,明示付与,明示付与,不可,自分関連のみ,自分関連のみ,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
report.store,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
reward.dispute,明示付与,明示付与,不可,自分関連のみ,自分関連のみ,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
reward.manage,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
role.manage,明示付与,明示付与,不可,不可,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
sales.read,明示付与,明示付与,不可,受付対象の支払のみ,不可,対象店舗内,原則不可,店舗・営業・所属有効期間をサーバー検証
sales.record,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
session.end,明示付与,明示付与,担当範囲,担当範囲,担当範囲,担当範囲,原則不可,店舗・営業・所属有効期間をサーバー検証
session.lock,明示付与,明示付与,担当範囲,担当範囲,担当範囲,担当範囲,原則不可,店舗・営業・所属有効期間をサーバー検証
session.read,明示付与,明示付与,担当範囲,担当範囲,担当範囲,担当範囲,原則不可,店舗・営業・所属有効期間をサーバー検証
settlement.finalize,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
settlement.manage,明示付与,明示付与,不可,不可,不可,別途金銭権限,原則不可,店舗・営業・所属有効期間をサーバー検証。返金・締めは追加認証
sync.ack,明示付与,明示付与,不可,有効な共用端末＋担当者セッション必須,不可,不可,原則不可,店舗・営業・所属有効期間をサーバー検証
sync.read,明示付与,明示付与,担当範囲,担当範囲,担当範囲,担当範囲,原則不可,店舗・営業・所属有効期間をサーバー検証
