code,http_status,message_ja,ui_action,retryable
UNAUTHENTICATED,401,認証が必要です,ログインへ戻る,false
FORBIDDEN,403,この操作の権限がありません,担当・営業を確認,false
OPERATOR_REQUIRED,401,担当者を選択してください,共用端末を個人PINで解錠,false
OPERATOR_CHANGED,409,担当者が切り替わりました,再解錠して一覧再取得。旧操作を自動再送しない,false
DEVICE_REVOKED,403,この端末は停止されています,正規の予備端末へ切替,false
VERSION_CONFLICT,409,内容が更新されています,最新内容を表示し再確認,false
ALREADY_DECIDED,409,この申請は処理済みです,決定者と結果を表示,false
SELF_APPROVAL_DENIED,403,自分の申請は承認できません,別の承認者へ依頼,false
QUOTA_EXCEEDED,409,許可枠が不足しています,最新枠表示・申請可能範囲確認,false
HARD_LIMIT_EXCEEDED,409,店舗の上限を超えています,通常承認で突破しない,false
IDENTITY_REQUIRED,422,常連のお客様本人の確認が必要です,照合画面へ,false
PAYMENT_REQUIRED,422,支払の確認が必要です,支払記録・充当を確認,false
ENTRY_COUNT_EXCEEDED,409,残り人数が不足しています,最新残数を表示,false
IDEMPOTENCY_CONFLICT,409,同じ操作番号で内容が異なります,元操作を照会。別操作は新しいキー,false
CONFIG_INCOMPLETE,422,営業設定が不足しています,不足項目一覧へ,false
PREVIEW_STALE,409,影響確認の後に対象が変わりました,再プレビュー,false
SNAPSHOT_REQUIRED,410,受付情報を更新します,新規snapshotから再同期,true
RATE_LIMITED,429,操作が続いています,Retry-Afterを尊重,true
SERVICE_UNAVAILABLE,503,通信または処理を確認できません,結果照会。同じキーで安全に再試行,true
PAYMENT_PENDING_REVIEW,409,支払済みですが予約を確認中です,例外キューで在庫と取引を照合,false
COMMAND_IN_PROGRESS,409,同じ操作を確認しています,待機して同じキーで結果確認,true
TABLE_UNAVAILABLE,409,選択した席を確保できません,空き状況を再取得,false
