operation_id,method,path,permission,requirements,contract_status
startLineLogin,GET,/auth/line/start,public,V3-ID-02,DESIGN_NOT_IMPLEMENTED
getMe,GET,/me,session.read,"V3-ID-01,V4-KSK-03",DESIGN_NOT_IMPLEMENTED
logout,POST,/auth/logout,session.end,V3-ID-06,DESIGN_NOT_IMPLEMENTED
createEnrollment,POST,/stores/{storeId}/devices/enrollments,device.enroll,V4-KSK-01,DESIGN_NOT_IMPLEMENTED
consumeEnrollment,POST,/device/enroll,pairing.code,V4-KSK-01,DESIGN_NOT_IMPLEMENTED
listDeviceOperators,GET,/device/operators,device.unlock,V4-KSK-02,DESIGN_NOT_IMPLEMENTED
unlockOperator,POST,/device/operator-sessions,device.unlock,"V4-KSK-02,V4-KSK-05",DESIGN_NOT_IMPLEMENTED
lockOperator,POST,/device/lock,session.lock,V4-KSK-06,DESIGN_NOT_IMPLEMENTED
listDevices,GET,/stores/{storeId}/devices,device.manage,V4-KSK-04,DESIGN_NOT_IMPLEMENTED
revokeDevice,POST,/stores/{storeId}/devices/{deviceId}/revoke,device.revoke,V4-KSK-08,DESIGN_NOT_IMPLEMENTED
listMemberships,GET,/stores/{storeId}/memberships,membership.manage,,DESIGN_NOT_IMPLEMENTED
inviteMember,POST,/stores/{storeId}/invitations,membership.manage,V3-ID-03,DESIGN_NOT_IMPLEMENTED
suspendMember,POST,/stores/{storeId}/memberships/{membershipId}/suspend,membership.manage,V3-ID-06,DESIGN_NOT_IMPLEMENTED
updateRole,PUT,/stores/{storeId}/roles/{roleId},role.manage,V3-ID-09,DESIGN_NOT_IMPLEMENTED
listEvents,GET,/stores/{storeId}/events,event.read,,DESIGN_NOT_IMPLEMENTED
createEvent,POST,/stores/{storeId}/events,event.manage,,DESIGN_NOT_IMPLEMENTED
updateAssignments,PUT,/stores/{storeId}/events/{eventId}/assignments,event.manage,V4-APR-03,DESIGN_NOT_IMPLEMENTED
publishEvent,POST,/stores/{storeId}/events/{eventId}/publish,event.manage,V4-CFG-10,DESIGN_NOT_IMPLEMENTED
