table,scope,column,type,nullable,primary_key,reference,default,check,description
tenants,global,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
tenants,global,name,text,False,False,,,,name
tenants,global,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'SUSPENDED', 'CLOSED')",status
tenants,global,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
tenants,global,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
tenants,global,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
app_users,global,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
app_users,global,display_name,text,False,False,,,,display_name
app_users,global,status,text,False,False,,'ACTIVE',"status IN ('ACTIVE', 'SUSPENDED')",status
app_users,global,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
app_users,global,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
app_users,global,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
external_identities,global,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
external_identities,global,user_id,uuid,False,False,app_users,,,user_id
external_identities,global,issuer,text,False,False,,,,issuer
external_identities,global,client_id,text,False,False,,,,client_id
external_identities,global,subject,text,False,False,,,,subject
external_identities,global,version,integer,False,False,,1,version > 0,楽観ロック用の更新版
external_identities,global,created_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,サーバー作成時刻
external_identities,global,updated_at,timestamptz,False,False,,CURRENT_TIMESTAMP,,更新時刻。更新処理が明示設定
auth_sessions,global,id,uuid,False,True,,gen_random_uuid(),,内部識別子。表示名とは独立
auth_sessions,global,user_id,uuid,False,False,app_users,,,user_id
auth_sessions,global,token_hash,text,False,False,,,,ランダムセッションのハッシュ
auth_sessions,global,expires_at,timestamptz,False,False,,,,expires_at
auth_sessions,global,revoked_at,timestamptz,True,False,,,,revoked_at
