epic,release,title,owner,depends_on,definition_of_done,acceptance_refs,estimate,status
EP01,R1,スコープ・店舗運用値と変更台帳,PM,なし,要件・設定・契約を分けたDoR承認,D-01..11,未見積,NOT_STARTED
EP02,R1,テナント・店舗・個人所属・権限,Backend,EP01,他店・他者アクセスをDB/API両方で拒否,"AT-01..05,AT-49",未見積,NOT_STARTED
EP03,R1,個人ログイン・招待・失効,Backend,EP02,LINE/代替メール・招待・停止の通し試験,AT-01..04,未見積,NOT_STARTED
EP04,R1,共用端末・PIN・担当者交代,Backend＋Frontend,EP02,端末資格のみでは閲覧不可、旧担当操作拒否,AT4-01..08,未見積,NOT_STARTED
EP05,R1,営業・可変料金・許可設定,Backend＋Frontend,EP02,UNSETの公開拒否、変更の影響確認,AT4-09..18,未見積,NOT_STARTED
EP06,R1,常連顧客・名前候補・照合,Backend＋Frontend,EP02,同名を自動統合せず本人と同行者を分離,AT4-19..24,未見積,NOT_STARTED
EP07,R1,紹介者・登録・代理・グループ,Backend＋Frontend,"EP05,EP06",登録者と紹介者分離、追加分だけ再判定,AT-05..18,未見積,NOT_STARTED
EP08,R1,通常の指定者・入口OR承認,Backend＋Frontend,"EP04,EP07",待機なし入口承認、同時決定最大1件,AT4-25..31,未見積,NOT_STARTED
EP09,R1,Outbox・復帰同期・ACK,Backend,"EP07,EP08",snapshot境界・逆順・再送・対象端末数一致,"AT-25..30,AT4-32..34",未見積,NOT_STARTED
EP10,R1,受付検索・本人確認・部分入場,Backend＋Frontend,"EP04,EP06,EP08,EP09",残人数・照合・支払を原子的に検証,AT-34..36,未見積,NOT_STARTED
EP11,R1,退場・再入場・訂正,Backend＋Frontend,EP10,初回実績再加算なし、原記録を保持,AT-35..36,未見積,NOT_STARTED
EP12,R1,オフライン縮退・PWA更新,Frontend＋運用,"EP09,EP10",単一暫定受付・復旧照合・未送信保護,AT-31..33,未見積,NOT_STARTED
EP13,R1,2Dフロア・テーブル・時間帯在庫,Backend＋Frontend,EP05,同じ物理席の重複予約をイベント横断で拒否,"AT-37,AT-39",未見積,NOT_STARTED
EP14,R1,VIP公開/手動予約・独立承認,Backend＋Frontend,"EP07,EP13",予約と入場特典の承認を混同しない,AT-37..40,未見積,NOT_STARTED
EP15,R1,決済・Webhook・返金・争議,Backend＋経理,"EP14,D-05",真正性・再送・遅延・過剰返金を検証,AT-41..43,未見積,NOT_STARTED
EP16,R1,入場/VIP会計・充当・現金照合,Backend＋経理,"EP10,EP15",預り二重計上0、部分人数の支払再使用拒否,"AT-43,AT4-35..38",未見積,NOT_STARTED
EP17,R1,帰属・報酬規則・締め・異議,Backend＋経理,"EP16,D-06",主紹介者維持・手計算一致・調整追跡,AT-44..47,未見積,NOT_STARTED
EP18,R1,紹介者/店舗ダッシュボード・帳票,Frontend＋Backend,EP17,未計測をnull表示・権限・分母/通貨を明示,"AT-45,AT-47,AT-57",未見積,NOT_STARTED
EP19,R1,クーポン・紹介リンク・招待QR,Backend＋Frontend,"EP05,EP07",公開リンクに内部権限を継承しない,"AT-09,AT-50",未見積,NOT_STARTED
EP20,R1,通知・日英テンプレート・リマインド,Backend,"EP09,EP14",配信再送・対象者・未達を区別,"AT-29,AT-57",未見積,NOT_STARTED
EP21,R1,監査・検索保護・エクスポート・移行,Backend＋Security,"EP02,EP09",不要PII非表示・CSV無害化・二重取込防止,AT-48..51,未見積,NOT_STARTED
EP22,R1,バックアップ・復元・夜間監視,SRE＋Backend,"EP15,EP21,D-09",復元とPSP再照合を実演,"AT-52,AT-56",未見積,NOT_STARTED
EP23,R1,実端末・負荷・夜間パイロット,QA＋店舗責任者,EP01..22,R1試験合格と限定4営業の実測,"AT-53..57,AT4-39..44",未見積,NOT_STARTED
EP24,R2,外販オンボーディング・契約・課金,事業責任者＋Backend,"EP23,D-10",導入・停止・プラン・解約を検収,AT-58,未見積,NOT_STARTED
EP25,R2,多店舗・監査/移行/復元高度化,Backend＋SRE,EP24,他店境界・契約に従う移行/削除,AT-58,未見積,NOT_STARTED
EP26,R3,チケット・一般入場事前決済,Backend＋Frontend,"EP15,EP24",販売枚数・再使用・返金整合,AT-59,未見積,NOT_STARTED
EP27,R3,ボトル/商品・在庫・POS・貸切,Backend＋Frontend,"EP16,EP26",在庫/利用売上/入場を接続,AT-59,未見積,NOT_STARTED
EP28,R4,3D・CRM・高度報酬・海外,事業責任者＋開発,"EP25,EP27",対象国/PSP/性能を追加検証,AT-60,未見積,NOT_STARTED
