legacy_id,title,requirement_v4,release,epics,screens,scope_status,api_status,test_status
S-1,テナント作成,クラブ運営会社ごとにテナントを作成し、店舗・ユーザー・予約・決済・顧客データを分離する。,R1→2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-2,複数店舗管理,1 テナントが複数店舗を持てる。店舗別に営業時間、フロア、権限、通貨、予約ルールを設定する。,R1→2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-3,テナント分離,他テナントへのアクセスをAPI・DB・購読・帳票・ストレージで防止する。基盤の分離はR1から実装する。,R1 / 改訂,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-4,プラン管理,プラン別の機能・上限・課金を管理する。個人ログイン、条件判定・承認、入口同期は基本プラン対象とし、価格はD-10で確定する。,R2 / 改訂,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-5,サブスクリプション請求,月額、年額、事前決済手数料、オプション課金、請求書、支払い失敗を管理する。,R2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-6,トライアル管理,7 日間などの無料トライアル、開始/終了通知、クレカ登録有無、期限後の権限を管理する。,R2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-7,オンボーディング,店舗情報、フロア、テーブル、営業時間、予約ルール、スタッフ招待、決済設定をチェックリスト化する。,R1→2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-8,SaaS 管理者コンソール,運営会社側がテナント状態、契約、請求、障害、利用状況、サポート履歴を管理する。,R2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-9,ブランド設定,店舗ロゴ、テーマ、予約フォームURL、メール差出人、通知文言をテナント別に設定する。,R2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
S-10,データ削除/解約,解約時のデータエクスポート、削除予約、保持期間、再開手順を管理する。,R2 / 継承,"EP02,EP24,EP25","UI-11,UI-13",RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-1,店舗基本情報,店舗名、住所、電話番号、営業形態、国、タイムゾーン、通貨、税設定を管理する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-2,営業時間設定,曜日・祝日・イベントごとに営業時間を設定し、予約フォームへ自動反映する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-3,予約受付制御,営業時間外・受付期限外・満席・ブロック済みテーブルの予約を自動制御する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-4,予約ルール,予約間隔、滞在時間、受付開始/締切、固定時間/自由時間/閉店までを設定する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-5,予約承認ルール,自動確定/手動承認/VIP のみ承認/金額別承認を店舗・イベント・テーブル単位で設定する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-6,キャンセルポリシー,キャンセル手数料、適用期限、返金率、ゲスト表示文言、同意チェックを管理する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-7,クーポン管理,割引額/率、適用対象、利用期限、利用回数、紹介者別クーポンを発行する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-8,イベント別運用,イベントごとにテーブル価格、フリー枠、紹介者参加可否、通知文言、チケットを設定する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-9,営業カレンダー,営業日、貸切、休業日、特別イベント、レギュラーイベントをカレンダーで管理する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
O-10,運用テンプレート,曜日イベントや月例イベントの予約ルール、テーブル価格、紹介者設定を複製する。,R1 / 継承,"EP05,EP19",UI-08,RETAINED,要コア契約と補助CRUDをepic単位で照合。全143機能のAPI完了を意味しない,NOT_RUN
