id,status,confirmed,remaining,owner,gate,evidence_method
D-01,CONFIRMED_WITH_SETUP,常連は顧客／名前検索中心,常連名簿・任意照合ヒント・指定者,店舗責任者,初回設定前,実例3件で同名候補と本人特典を確認
D-02,FUNCTION_CONFIRMED_VALUES_OPEN,金額・人数・期限・対象は管理画面設定,実料金・枠・対象営業・同行者・有効期間,店舗責任者,公開営業作成前,設定プレビューと料金表を照合
D-03,FLOW_CONFIRMED_SETUP_OPEN,入口も通常から承認可／指定者とOR,当日割当・個人別承認範囲・自己申請初期案,店舗責任者,認証・承認設計レビュー,並列承認・本人申請・上限超過の実例
D-04,DEVICE_TYPE_CONFIRMED_CAPACITY_OPEN,入口は店舗共用タブレット・スマホ,OS・台数・同時人数・回線・予備機,入口責任者＋開発,端末受入計画前,端末棚卸・回線測定
D-05,OPEN_BLOCKS_LIVE_PAYMENT,VIP予約・事前決済はR1を維持,PSP・契約名義・預り/全額・キャンセル・返金・税表示,事業責任者＋経理,PSPアダプター実装着手／実決済前,契約・試験取引・Webhook・取消試験
D-06,FUNCTION_CONFIRMED_VALUES_OPEN,実入場・売上から説明可能な報酬,契約単価/率・対象・丸め・締め/支払日,店舗責任者＋経理,報酬算定有効化前,3種類の契約ケースを手計算
D-07,OPEN_BLOCKS_CONNECTOR,既存予約・POSと共存,製品・外部ID・API/CSV・取消/返金,連携担当,接続機能の設計前,匿名サンプルの再取込・差額照合
D-08,PROPOSED_REVIEW_REQUIRED,共用端末を個人識別して使用,PIN方式・期限・ロック・キャッシュ・保持・消去,管理者＋開発,認証設計／本番前,紛失・交代・旧タブ・期限切れ試験
D-09,OPEN_BLOCKS_PRODUCTION,監視・復旧をR1で実施,夜間対応・RPO/RTO・予算・当番・連絡先,事業責任者＋運用,本番判定前,復元訓練と担当者呼出し
D-10,OPEN_R2,外販対象を維持,価格・課金・契約・解約/移行・対象国,事業責任者,R2公開前,有料導入意向と契約レビュー
D-11,OPEN_BLOCKS_COMMITMENT,R1は全必須の範囲を維持,開発予算・体制・希望時期・技術基盤正式選定,事業責任者＋Tech Lead,実装契約・マイルストーン承認前,バックログ依存と見積の突合
